year,week,team,player,position,injury
2016,1,Arizona Cardinals,Justin Bethel,DB,Foot
2016,1,Arizona Cardinals,Lamar Louis,LB,Knee
2016,1,Arizona Cardinals,Kareem Martin,LB,Knee
2016,1,Arizona Cardinals,Alex Okafor,DE,Biceps
2016,1,Arizona Cardinals,Frostee Rucker,DE,Neck
2016,1,Arizona Cardinals,Stepfan Taylor,RB,Knee
2016,1,Atlanta Falcons,Adrian Clayborn,DE,Shoulder
2016,1,Atlanta Falcons,Dashon Goldson,DB,Hamstring
2016,1,Atlanta Falcons,Kemal Ishmael,DB,Shoulder
2016,1,Atlanta Falcons,Julio Jones,WR,Ankle
2016,1,Atlanta Falcons,Keanu Neal,DB,Knee
2016,1,Atlanta Falcons,Robenson Therezie,DB,Multiple
2016,1,Atlanta Falcons,Terron Ward,RB,Ankle
2016,1,Baltimore Ravens,Kenneth Dixon,RB,Knee
2016,1,Baltimore Ravens,Elvis Dumervil,DE,Foot
2016,1,Baltimore Ravens,Dennis Pitta,TE,Finger
2016,1,Baltimore Ravens,Jerraud Powers,DB,Ankle
2016,1,Baltimore Ravens,John Urschel,C,Shoulder
2016,1,Baltimore Ravens,Maxx Williams,TE,Knee
2016,1,Baltimore Ravens,Shareece Wright,DB,Foot
2016,1,Buffalo Bills,Colt Anderson,DB,Foot
2016,1,Buffalo Bills,Ryan Groy,C,Rib
2016,1,Buffalo Bills,Cardale Jones,QB,Shoulder
2016,1,Buffalo Bills,Kevon Seymour,DB,Hamstring
2016,1,Buffalo Bills,Jonathan Williams,RB,Rib
2016,1,Carolina Panthers,Vernon Butler,DT,Hand
2016,1,Carolina Panthers,A.J. Klein,LB,Back
2016,1,Carolina Panthers,Dean Marlowe,DB,Hamstring
2016,1,Chicago Bears,Josh Bellamy,WR,Shoulder
2016,1,Chicago Bears,Deon Bush,DB,Hamstring
2016,1,Chicago Bears,Bryce Callahan,DB,Groin
2016,1,Chicago Bears,Kyle Fuller,DB,Knee
2016,1,Chicago Bears,Paul Lasike,RB,Wrist
2016,1,Chicago Bears,Kyle Long,OG,Shoulder
2016,1,Chicago Bears,Deonte Thompson,WR,Multiple
2016,1,Chicago Bears,Cornelius Washington,DE,Multiple
2016,1,Chicago Bears,Kevin White,WR,Hamstring
2016,1,Cincinnati Bengals,Rex Burkhead,RB,Shoulder
2016,1,Cincinnati Bengals,Cody Core,WR,Other
2016,1,Cincinnati Bengals,Darqueze Dennard,DB,Ankle
2016,1,Cincinnati Bengals,Tyler Eifert,TE,Ankle
2016,1,Cincinnati Bengals,Jake Fisher,OT,Multiple
2016,1,Cincinnati Bengals,T.J. Johnson,OG,Concussion
2016,1,Cincinnati Bengals,Adam Jones,DB,Calf
2016,1,Cincinnati Bengals,Tyler Kroft,TE,Knee
2016,1,Cincinnati Bengals,Cedric Ogbuehi,OT,Toe
2016,1,Cincinnati Bengals,Pat Sims,DT,Achilles
2016,1,Cincinnati Bengals,James Wright,WR,Knee
2016,1,Cleveland Browns,Marcus Burley,DB,Groin
2016,1,Cleveland Browns,Tracy Howard,DB,Hamstring
2016,1,Cleveland Browns,Ricardo Louis,WR,Hamstring
2016,1,Cleveland Browns,Emmanuel Ogbah,DE,Hamstring
2016,1,Cleveland Browns,Tramon Williams,DB,Toe
2016,1,Dallas Cowboys,Ronald Leary,OG,Groin
2016,1,Dallas Cowboys,Mark Nzeocha,LB,Achilles
2016,1,Dallas Cowboys,Tony Romo,QB,Back
2016,1,Dallas Cowboys,Charles Tapper,DE,Back
2016,1,Denver Broncos,Kapri Bibbs,RB,Quadricep
2016,1,Denver Broncos,James Ferentz,C,Knee
2016,1,Denver Broncos,Bennie Fowler,WR,Elbow
2016,1,Denver Broncos,Max Garcia,OG,Groin
2016,1,Denver Broncos,Jeff Heuerman,TE,Ankle
2016,1,Denver Broncos,Ty Sambrailo,OT,Elbow
2016,1,Denver Broncos,Demarcus Ware,LB,Back
2016,1,Denver Broncos,Darrion Weems,OT,Concussion
2016,1,Denver Broncos,Billy Winn,DE,Back
2016,1,Detroit Lions,Eric Ebron,TE,Ankle
2016,1,Detroit Lions,Graham Glasgow,OG,Toe
2016,1,Detroit Lions,Corey Robinson,OT,Ankle
2016,1,Detroit Lions,Golden Tate,WR,Ankle
2016,1,Green Bay Packers,Chris Banjo,DB,Hamstring
2016,1,Green Bay Packers,Trevor Davis,WR,Shoulder
2016,1,Green Bay Packers,Jayrone Elliott,LB,Hamstring
2016,1,Green Bay Packers,Josh Hawkins,DB,Hamstring
2016,1,Green Bay Packers,Jeff Janis,WR,Hand
2016,1,Green Bay Packers,Justin Perillo,TE,Knee
2016,1,Houston Texans,Duane Brown,OT,Knee
