team,player,position,date,injury,status,expected_return
Arizona Cardinals,Budda Baker,S,"November 15, 2020",groin,Questionable, 
Arizona Cardinals,Kenyan Drake,RB,"November 15, 2020",ankle,Questionable, 
Arizona Cardinals,Dre Kirkpatrick,CB,"November 15, 2020",thigh,Questionable, 
Arizona Cardinals,Justin Murray,T,"November 15, 2020",hand,Out, 
Arizona Cardinals,Jordan Phillips,DE,"November 15, 2020",hamstring,Out, 
Arizona Cardinals,Deionte Thompson,S,"November 15, 2020",knee,Questionable, 
Arizona Cardinals,Maxx Williams,TE,"November 15, 2020",ankle,Questionable, 
Baltimore Ravens,Calais Campbell,DE,"November 15, 2020",calf,Out, 
Baltimore Ravens,L.J. Fort,LB,"November 15, 2020",finger,Questionable, 
Baltimore Ravens,Mark Ingram II,RB,"November 15, 2020",ankle,Questionable, 
Baltimore Ravens,Matt Judon,LB,"November 15, 2020",calf,Questionable, 
Baltimore Ravens,Jimmy Smith,CB,"November 15, 2020",ankle,Doubtful, 
Baltimore Ravens,Ronnie Stanley,T,"November 3, 2020",ankle,IR,"March 1, 2021"
Buffalo Bills,Cody Ford,T,"November 15, 2020",ankle,Questionable, 
Buffalo Bills,Micah Hyde,S,"November 15, 2020",ankle,Questionable, 
Buffalo Bills,Taiwan Jones,RB,"November 15, 2020",hamstring,Out, 
Carolina Panthers,Jeremy Chinn,S,"November 15, 2020",knee,Questionable, 
Carolina Panthers,Yetur Gross-Matos,DE,"November 15, 2020",ankle,Questionable, 
Carolina Panthers,Marquis Haynes,DE,"November 15, 2020",shoulder,Questionable, 
Carolina Panthers,Donte Jackson,CB,"November 15, 2020",toe,Questionable, 
Carolina Panthers,Austin Larkin,DE,"November 15, 2020",groin,Questionable, 
Carolina Panthers,Christian McCaffrey,RB,"November 15, 2020",shoulder,Out, 
Carolina Panthers,Russell Okung,T,"November 15, 2020",calf,Out, 
Chicago Bears,John Jenkins,NT,"November 16, 2020",ankle,Out, 
Chicago Bears,Cole Kmet,TE,"November 16, 2020",groin,Questionable, 
Chicago Bears,Sherrick McManis,S,"November 16, 2020",hand,Out, 
Chicago Bears,Barkevious Mingo,LB,"November 16, 2020",shoulder,Questionable, 
Chicago Bears,David Montgomery,RB,"November 16, 2020",concussion,Out, 
Chicago Bears,Sam Mustipher,C,"November 16, 2020",knee,Doubtful, 
Chicago Bears,Allen Robinson II,WR,"November 16, 2020",knee,Questionable, 
Chicago Bears,Jason Spriggs,T,"November 16, 2020",knee,Questionable, 
Chicago Bears,Mitchell Trubisky,QB,"November 16, 2020",right shoulder,Out, 
Cincinnati Bengals,Geno Atkins,DT,"November 15, 2020",not injury related,Out, 
Cincinnati Bengals,Bobby Hart,T,"November 15, 2020",knee,Out, 
Cincinnati Bengals,Joe Mixon,RB,"November 15, 2020",foot,Doubtful, 
Cincinnati Bengals,LeShaun Sims,CB,"November 15, 2020",concussion,Out, 
Cincinnati Bengals,Jonah Williams,T,"November 15, 2020",stinger,Questionable, 
Cleveland Browns,Odell Beckham Jr.,WR,"October 27, 2020",torn left ACL,IR,"February 8, 2021"
Cleveland Browns,Jacob Phillips,LB,"November 15, 2020",knee,Questionable, 
Dallas Cowboys,Dak Prescott,QB,"October 19, 2020",fractured ankle,IR,"February 8, 2021"
Denver Broncos,Bryce Callahan,CB,"November 15, 2020",ankle,Questionable, 
Denver Broncos,Demar Dotson,T,"November 15, 2020","groin, hand",Questionable, 
Denver Broncos,Jerry Jeudy,WR,"November 15, 2020",shoulder,Questionable, 
Denver Broncos,Joseph Jones,LB,"November 15, 2020",calf,Out, 
Denver Broncos,Von Miller,LB,"September 15, 2020",ankle,IR,"December 6, 2020"
Denver Broncos,Jake Rodgers,T,"November 15, 2020",shoulder,Questionable, 
Denver Broncos,Diontae Spencer,WR,"November 15, 2020",shoulder,Questionable, 
Denver Broncos,Courtland Sutton,WR,"September 21, 2020",torn ACL,IR,"February 8, 2021"
Detroit Lions,Jamal Agnew,WR,"November 15, 2020",ribs,Questionable, 
Detroit Lions,Joe Dahl,G,"November 15, 2020",back,Questionable, 
Detroit Lions,Jarrad Davis,LB,"November 15, 2020",knee,Questionable, 
Detroit Lions,Trey Flowers,DE,"November 2, 2020",undisclosed,IR,"November 26, 2020"
Detroit Lions,Kenny Golladay,WR,"November 15, 2020",hip,Out, 
Detroit Lions,T.J. Hockenson,TE,"November 15, 2020",toe,Questionable, 
Detroit Lions,Halapoulivaati Vaitai,T,"November 15, 2020",foot,Questionable, 
Detroit Lions,Nick Williams,DT,"November 15, 2020",shoulder,Questionable, 
Green Bay Packers,Jaire Alexander,CB,"November 15, 2020","concussion, hand",Doubtful, 
Green Bay Packers,Kevin King,CB,"November 15, 2020",quadriceps,Questionable, 
Green Bay Packers,Will Redmond,S,"November 15, 2020",shoulder,Questionable, 
Green Bay Packers,Vernon Scott,S,"November 15, 2020",shoulder,Questionable, 
Green Bay Packers,Darrius Shepherd,WR,"November 15, 2020",shoulder,Questionable, 
Green Bay Packers,Equanimeous St. Brown,WR,"November 15, 2020",knee,Questionable, 
Green Bay Packers,Robert Tonyan,TE,"November 15, 2020",ankle,Questionable, 
Green Bay Packers,Rick Wagner,T,"November 15, 2020",knee,Questionable, 
Houston Texans,David Johnson,RB,"November 14, 2020",concussion,IR,"December 6, 2020"
Houston Texans,Senio Kelemete,G,"November 15, 2020",concussion,Out, 
Houston Texans,Josh McCown,QB,"November 15, 2020",not injury related,Out, 
Houston Texans,Charles Omenihu,DE,"November 15, 2020",hamstring,Out, 
Indianapolis Colts,Parris Campbell,WR,"September 22, 2020",torn PCL,IR,"December 20, 2020"
Indianapolis Colts,Marlon Mack,RB,"September 16, 2020",ruptured right Achilles,IR,"February 8, 2021"
Jacksonville Jaguars,Dakota Allen,LB,"November 15, 2020",ankle,Out, 
Jacksonville Jaguars,Doug Costin,DT,"November 15, 2020",concussion,Out, 
Jacksonville Jaguars,Brandon Linder,C,"November 15, 2020",back,Out, 
Jacksonville Jaguars,Gardner Minshew II,QB,"November 15, 2020",right thumb,Out, 
Jacksonville Jaguars,Devine Ozigbo,RB,"November 15, 2020",hamstring,Out, 
Jacksonville Jaguars,Laviska Shenault Jr.,WR,"November 15, 2020",hamstring,Out, 
Las Vegas Raiders,Maurice Hurst,DT,"November 15, 2020",ankle,Out, 
Las Vegas Raiders,Gabe Jackson,G,"November 15, 2020",illness,Questionable, 
Las Vegas Raiders,Kolton Miller,T,"November 15, 2020",ankle,Doubtful, 
Las Vegas Raiders,Tyrell Williams,WR,"September 1, 2020",torn labrum,IR,"February 8, 2021"
Los Angeles Chargers,Joey Bosa,DE,"November 15, 2020",concussion,Out, 
Los Angeles Chargers,Bryan Bulaga,T,"November 15, 2020",back,Questionable, 
